,Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
0,1994-01-01,13.896774193548389,4.796774193548386,2.8306451612903225,5.516129032258064,1.2999999999999998,0.04838709677419349,6.574193548387097,6.761290322580645,1003.1467741935483,3.6870967741935488,85.19354838709677,5.924193548387096,1.5225806451612902,0.8870967741935484
1,1994-02-01,9.760714285714286,3.382142857142857,0.9714285714285714,4.142857142857143,2.7357142857142858,1.0357142857142858,5.5928571428571425,5.121428571428572,1011.2142857142858,-0.4714285714285715,77.78571428571429,2.435714285714286,-3.253571428571429,-3.9589285714285714
2,1994-03-01,15.725806451612904,5.274193548387097,3.074193548387097,5.419354838709677,3.356451612903226,0.0,6.180645161290322,7.65483870967742,1006.6403225806453,6.351612903225806,78.90322580645162,10.30967741935484,3.083870967741935,2.27258064516129
3,1994-04-01,12.066666666666666,3.6966666666666654,2.138333333333333,3.6999999999999997,5.241666666666667,0.0,5.343333333333334,8.453333333333333,1004.2666666666667,8.863333333333333,75.4,13.446666666666665,4.693333333333333,2.756666666666667
4,1994-05-01,11.793548387096775,3.174193548387097,2.6,3.741935483870968,6.416129032258064,0.0,5.193548387096774,10.616129032258064,1006.9145161290321,13.209677419354838,73.80645161290323,17.89032258064516,8.080645161290322,6.47258064516129
5,1994-06-01,11.983333333333333,3.3233333333333333,1.97,3.2,7.383333333333334,0.0,5.1033333333333335,12.81,1009.8466666666666,16.29,69.06666666666666,21.46333333333333,11.276666666666667,9.58
6,1994-07-01,9.7,2.4451612903225803,1.4080645161290324,1.4516129032258065,10.441935483870967,0.0,3.590322580645161,16.1758064516129,1010.8677419354838,22.579032258064522,65.61290322580645,28.18064516129032,16.05483870967742,13.574193548387097
7,1994-08-01,11.229032258064516,2.9096774193548387,3.0532258064516125,3.774193548387097,7.151612903225806,0.0,4.693548387096774,15.012903225806454,1006.9258064516127,18.200000000000003,73.96774193548387,23.47741935483871,13.683870967741935,12.338709677419354
8,1994-09-01,10.693333333333332,3.293333333333333,3.2350000000000003,4.333333333333334,3.75,0.0,5.748333333333333,13.196666666666667,1006.4583333333334,13.853333333333332,82.05000000000001,17.505000000000003,10.485,9.533333333333331
9,1994-10-01,9.625806451612904,3.070967741935484,1.7645161290322582,3.0,4.467741935483871,0.0,4.8999999999999995,8.627419354838711,1010.3725806451613,8.153225806451612,78.2741935483871,12.466129032258065,4.280645161290322,2.735483870967742
10,1994-11-01,10.983333333333333,4.316666666666666,1.4233333333333333,3.6833333333333336,1.89,0.0,6.0216666666666665,9.081666666666667,1012.3266666666666,7.786666666666667,84.53333333333333,10.203333333333333,5.091666666666667,4.683333333333334
11,1994-12-01,12.548387096774194,4.690322580645161,2.253225806451613,4.580645161290322,1.4225806451612903,0.0,5.8096774193548395,7.346774193548387,1010.9725806451613,4.262903225806452,84.54838709677419,6.543548387096774,1.7903225806451615,1.2225806451612906
12,1995-01-01,13.741935483870968,5.064516129032258,3.364516129032258,5.467741935483871,1.883870967741936,0.8548387096774194,5.993548387096775,5.727419354838709,1006.1258064516128,1.0258064516129033,82.80645161290323,3.4951612903225806,-1.5241935483870965,-2.525806451612904
13,1995-02-01,14.725,5.378571428571428,2.310714285714286,5.821428571428571,2.382142857142857,0.0714285714285714,6.260714285714286,7.2625,1003.2750000000001,5.296428571428571,80.5,8.307142857142857,2.255357142857143,1.425
14,1995-03-01,14.525806451612905,5.209677419354839,2.5419354838709682,5.032258064516129,4.706451612903226,0.3709677419354839,5.0112903225806456,6.066129032258065,1004.8193548387096,3.896774193548387,76.32258064516128,7.830645161290322,0.45483870967741935,-1.029032258064516
15,1995-04-01,12.6,4.5233333333333325,1.5766666666666667,4.1,4.760000000000001,0.0,5.578333333333333,8.245000000000001,1006.7166666666666,9.004999999999999,73.73333333333333,13.206666666666667,4.756666666666667,3.43
16,1995-05-01,10.451612903225806,3.4000000000000004,2.2887096774193547,3.387096774193548,7.135483870967741,0.0,5.070967741935484,10.309677419354838,1008.3209677419354,13.162903225806453,69.95161290322581,17.854838709677416,7.558064516129033,5.735483870967743
17,1995-06-01,9.756666666666666,3.18,3.3733333333333335,4.2,5.933333333333334,0.0,5.381666666666667,12.848333333333334,1008.3299999999999,15.178333333333331,75.31666666666666,19.68333333333333,10.636666666666668,9.473333333333333
18,1995-07-01,10.44516129032258,3.203225806451613,2.1822580645161285,2.6129032258064515,9.258064516129032,0.0,3.8112903225806454,16.443548387096776,1008.8532258064517,21.05967741935484,69.62903225806451,26.782258064516128,15.187096774193549,13.35483870967742
19,1995-08-01,9.941935483870967,2.9064516129032256,2.079032258064516,2.4193548387096775,8.374193548387098,0.0,4.070967741935484,14.359677419354838,1008.7564516129032,19.538709677419355,69.06451612903226,25.159677419354843,13.640322580645162,11.4
20,1995-09-01,10.223333333333333,3.4033333333333333,3.3133333333333335,4.266666666666667,3.98,0.0,5.878333333333334,12.251666666666669,1004.13,13.581666666666667,81.35,17.519999999999996,10.196666666666667,8.806666666666667
21,1995-10-01,7.793333333333334,2.832258064516129,0.6370967741935483,2.903225806451613,3.832258064516129,0.0,5.199999999999999,12.341935483870968,1015.2596774193548,12.275806451612903,83.59677419354838,16.43709677419355,8.488709677419354,6.506451612903226
22,1995-11-01,9.65,3.58,1.6616666666666666,3.783333333333333,2.396666666666667,0.0666666666666666,5.783333333333333,6.815,1010.25,3.4416666666666664,83.25,6.378333333333333,0.8700000000000001,0.0799999999999999
23,1995-12-01,8.609677419354838,3.2193548387096773,1.4048387096774193,4.85483870967742,1.2419354838709675,0.8709677419354839,6.1887096774193555,4.8112903225806445,1013.1645161290321,-1.8096774193548386,85.64516129032258,0.16129032258064516,-4.029032258064516,-4.635483870967741
24,1996-01-01,9.106451612903228,3.816129032258064,0.12580645161290321,3.209677419354839,1.9096774193548385,0.6935483870967742,5.679032258064517,4.396774193548387,1015.5338709677419,-2.782258064516129,83.70967741935485,-0.9,-4.691935483870968,-5.680645161290323
25,1996-02-01,10.882758620689655,4.013793103448276,1.3103448275862069,4.982758620689656,2.9206896551724135,2.2413793103448274,5.6482758620689655,4.620689655172414,1006.9155172413793,-2.043103448275862,80.65517241379311,0.8241379310344827,-5.186206896551724,-6.255172413793104
26,1996-03-01,9.82258064516129,3.758064516129033,0.603225806451613,3.8548387096774195,4.358064516129033,0.06451612903225805,5.037096774193548,5.25,1012.191935483871,1.0596774193548388,73.51612903225806,4.791935483870968,-1.7048387096774194,-2.664516129032258
27,1996-04-01,9.49,2.863333333333333,0.7816666666666666,2.6166666666666667,6.680000000000001,0.1,4.6,7.341666666666666,1010.7533333333333,9.383333333333335,64.4,14.77,3.4450000000000003,1.53
28,1996-05-01,11.28064516129032,3.3451612903225807,2.55,4.548387096774194,4.564516129032258,0.0,6.129032258064516,10.579032258064515,1005.9193548387098,11.648387096774194,75.85483870967741,15.656451612903226,7.406451612903226,6.887096774193548
29,1996-06-01,9.96,3.033333333333333,1.4099999999999997,3.2666666666666666,6.7,0.0,5.045,12.921666666666667,1011.565,15.943333333333332,70.41666666666666,20.928333333333335,11.201666666666668,9.423333333333334
30,1996-07-01,11.174193548387096,3.238709677419355,2.6322580645161286,3.6774193548387095,6.190322580645161,0.0,5.303225806451613,13.561290322580644,1009.1532258064516,16.66774193548387,73.6774193548387,20.951612903225808,11.85483870967742,10.698387096774193
31,1996-08-01,10.167741935483871,3.009677419354839,2.032258064516129,3.6774193548387095,6.906451612903226,0.0,4.748387096774193,15.193548387096774,1009.4548387096775,18.029032258064515,75.35483870967742,22.990322580645163,13.583870967741936,11.933870967741935
32,1996-09-01,10.343333333333334,3.3633333333333337,1.4833333333333334,3.4,4.88,0.0,5.346666666666667,10.86,1008.4449999999999,11.666666666666666,79.16666666666667,15.97,7.823333333333333,6.256666666666667
33,1996-10-01,9.37741935483871,3.1193548387096777,2.370967741935484,3.870967741935484,3.441935483870968,0.0,5.264516129032257,10.351612903225806,1009.8451612903226,9.96774193548387,82.90322580645162,13.9,6.541935483870968,4.874193548387097
34,1996-11-01,11.366666666666667,4.403333333333333,2.93,5.5,1.4,0.4666666666666667,6.6,7.84,1002.5083333333332,5.180000000000001,85.26666666666667,7.453333333333333,3.106666666666667,2.038333333333333
35,1996-12-01,8.2,3.2193548387096773,1.0064516129032255,3.741935483870968,1.825806451612904,0.967741935483871,5.806451612903226,4.812903225806451,1010.3177419354838,-2.083870967741935,84.3225806451613,0.2193548387096774,-4.383870967741935,-4.958064516129032
36,1997-01-01,7.483870967741935,2.8451612903225807,0.232258064516129,3.741935483870968,2.206451612903226,3.419354838709677,5.496774193548387,4.638709677419355,1017.5274193548387,-2.1193548387096777,87.03225806451613,0.4645161290322581,-4.916129032258064,-6.119354838709677
37,1997-02-01,14.446428571428571,5.396428571428571,2.4714285714285715,4.75,3.292857142857143,0.0,5.735714285714286,6.757142857142857,1010.0,4.7250000000000005,76.96428571428571,7.978571428571429,1.5678571428571428,0.5410714285714285
38,1997-03-01,10.764516129032256,3.967741935483871,1.032258064516129,4.129032258064516,4.27741935483871,0.0,5.458064516129032,7.258064516129032,1014.8693548387098,5.84516129032258,77.29032258064517,10.235483870967744,2.435483870967742,1.5306451612903227
39,1997-04-01,12.29,3.923333333333333,1.4533333333333331,3.9,6.04,0.0666666666666666,4.816666666666666,6.656666666666666,1009.7716666666668,6.989999999999999,67.83333333333333,11.676666666666668,2.2666666666666666,0.5733333333333333
40,1997-05-01,11.648387096774194,3.5806451612903225,2.2580645161290325,3.806451612903226,7.164516129032258,0.0,5.090322580645162,10.85483870967742,1007.8596774193547,13.074193548387097,72.54838709677419,17.993548387096773,8.138709677419355,6.891935483870968
41,1997-06-01,11.81,3.533333333333333,3.1333333333333333,3.6,7.436666666666666,0.0,4.943333333333333,13.176666666666668,1004.5933333333332,16.196666666666665,72.16666666666667,21.146666666666665,11.12,9.891666666666666
42,1997-07-01,9.983870967741936,2.8193548387096774,2.9612903225806453,4.064516129032258,6.967741935483871,0.0,5.193548387096774,15.49032258064516,1008.5483870967741,17.758064516129032,77.90322580645162,22.77741935483871,13.403225806451612,12.34193548387097
43,1997-08-01,8.935483870967742,2.5387096774193547,1.467741935483871,2.3225806451612905,8.25483870967742,0.0,3.858064516129032,16.66774193548387,1010.7096774193549,20.796774193548387,72.51612903225806,26.69032258064516,15.541935483870969,13.501612903225805
44,1997-09-01,8.996666666666666,2.813333333333333,0.9233333333333332,2.0,6.743333333333334,0.0,4.406666666666666,12.32,1013.6799999999998,14.033333333333331,74.63333333333334,19.94,9.093333333333334,7.361666666666667
45,1997-10-01,10.541935483870969,3.283870967741936,1.8096774193548388,3.6774193548387095,3.7838709677419353,0.0,5.158064516129032,9.080645161290322,1008.7290322580645,8.029032258064516,78.96774193548387,12.538709677419355,4.648387096774194,3.2338709677419355
46,1997-11-01,9.233333333333333,3.393333333333333,1.4200000000000002,3.8,1.7666666666666666,0.0,6.29,7.173333333333333,1005.9550000000002,4.25,85.5,6.753333333333333,1.7233333333333334,1.1199999999999999
47,1997-12-01,10.506451612903223,3.887096774193549,2.206451612903226,5.290322580645161,1.0516129032258066,0.064516129032258,6.493548387096775,6.712903225806452,1006.4580645161291,2.4838709677419355,87.64516129032258,4.690322580645161,0.3096774193548388,-0.14677419354838706
48,1998-01-01,11.725806451612904,4.245161290322581,2.183870967741936,4.838709677419355,2.1838709677419352,0.1612903225806451,5.835483870967742,6.616129032258065,1008.9790322580645,3.225806451612903,82.6774193548387,5.948387096774193,0.9903225806451614,-0.4048387096774193
49,1998-02-01,12.325,4.817857142857143,0.6607142857142857,2.9285714285714284,2.5785714285714287,0.2142857142857142,5.25,7.367857142857143,1014.4107142857142,5.614285714285714,76.92857142857143,8.871428571428572,1.992857142857143,1.0089285714285714
50,1998-03-01,12.54516129032258,4.374193548387097,1.796774193548387,4.709677419354839,4.217741935483871,0.032258064516129,5.609677419354839,6.670967741935484,1012.2516129032258,5.800000000000001,74.35483870967742,9.270967741935484,1.9193548387096773,0.5580645161290323
51,1998-04-01,11.307692307692308,3.803333333333333,2.4833333333333334,5.2,4.351666666666667,0.0,6.3133333333333335,9.22,998.6583333333333,9.253333333333334,79.26666666666667,12.913333333333332,5.86,4.121666666666666
52,1998-05-01,10.66451612903226,3.3774193548387097,1.2064516129032257,3.290322580645161,7.685483870967742,0.0,4.54516129032258,11.548387096774194,1008.2725806451613,14.838709677419354,69.2258064516129,20.09354838709677,9.49032258064516,7.5112903225806456
53,1998-06-01,10.84,3.2133333333333334,2.6566666666666667,4.6,6.468333333333334,0.0,5.513333333333334,14.446666666666664,1007.6133333333332,16.223333333333333,74.16666666666667,21.49333333333333,12.23,11.469999999999999
54,1998-07-01,11.8,3.7903225806451615,2.0387096774193547,4.645161290322581,5.6806451612903235,0.0,5.724193548387097,14.490322580645163,1004.341935483871,16.651612903225807,74.61290322580645,21.595161290322586,13.074193548387099,11.935483870967742
55,1998-08-01,11.251612903225809,3.2483870967741937,2.2612903225806447,3.6774193548387095,6.617741935483871,0.0,5.0677419354838715,13.980645161290322,1008.4903225806452,16.740322580645163,72.48387096774194,22.620967741935484,12.42258064516129,11.019354838709678
56,1998-09-01,9.71,3.2333333333333334,2.9899999999999998,4.2,3.8800000000000003,0.0,5.855,13.496666666666666,1005.1566666666668,14.075,83.5,18.089999999999996,10.813333333333334,9.226666666666668
57,1998-10-01,13.26774193548387,5.324,4.987096774193548,5.354838709677419,2.167741935483871,0.0,6.424193548387096,9.76774193548387,1004.1467741935484,9.127419354838711,82.62903225806451,11.961290322580645,6.512903225806451,5.629032258064516
58,1998-11-01,9.613333333333332,3.14,1.88,5.3,1.5666666666666669,0.1333333333333333,6.206666666666667,6.431666666666667,1010.735,2.0666666666666664,86.91666666666666,4.381666666666666,-0.36666666666666664,-1.2533333333333334
59,1998-12-01,11.25483870967742,4.374193548387097,1.5032258064516129,4.548387096774194,1.7741935483870968,1.467741935483871,5.9887096774193544,6.164516129032258,1011.8548387096773,1.5774193548387097,85.64516129032258,3.8338709677419356,-0.8096774193548386,-1.6806451612903226
60,1999-01-01,11.077419354838709,4.148387096774194,1.9645161290322584,4.741935483870968,2.135483870967742,0.5806451612903225,5.924193548387096,6.585483870967742,1006.7741935483871,3.5258064516129037,83.5,6.216129032258063,0.5387096774193547,-0.6838709677419356
61,1999-02-01,11.742857142857144,4.2,2.2357142857142858,6.214285714285714,2.1607142857142856,2.357142857142857,6.432142857142857,5.832142857142857,1003.3303571428572,1.6,85.67857142857143,4.007142857142857,-1.4392857142857145,-2.7214285714285715
62,1999-03-01,10.203225806451613,3.5064516129032257,1.493548387096774,4.258064516129032,3.551612903225806,0.0,6.035483870967742,7.309677419354839,1005.2274193548386,5.948387096774193,80.29032258064517,9.83548387096774,2.5,1.2951612903225806
63,1999-04-01,11.446666666666664,3.88,1.9766666666666668,4.066666666666666,5.388333333333334,0.0,5.136666666666667,8.953333333333335,1006.3683333333333,9.813333333333333,74.9,14.506666666666666,5.226666666666668,3.3466666666666667
64,1999-05-01,10.746666666666666,3.270967741935484,1.5612903225806452,3.225806451612903,7.353225806451613,0.0,4.790322580645161,10.883870967741936,1009.9516129032259,14.506451612903223,71.38709677419355,19.40967741935484,8.841935483870968,6.337096774193548
65,1999-06-01,10.836666666666668,3.1366666666666663,2.2,4.066666666666666,7.07,0.0,4.953333333333333,12.736666666666668,1010.63,15.78,70.26666666666667,20.976666666666667,11.196666666666664,9.563333333333333
66,1999-07-01,10.82258064516129,3.438709677419354,1.8612903225806448,3.096774193548387,8.29516129032258,0.0,4.629032258064516,15.403225806451612,1009.4612903225807,19.88387096774193,68.38709677419355,25.19677419354839,14.693548387096774,13.20967741935484
67,1999-08-01,10.64516129032258,3.261290322580645,2.2419354838709675,3.548387096774193,6.537096774193548,0.0,5.180645161290323,14.32258064516129,1006.8290322580644,17.648387096774194,72.70967741935483,22.94516129032258,13.187096774193549,10.962903225806452
68,1999-09-01,9.7,2.993333333333333,1.98,3.0,6.831666666666667,0.0,4.126666666666667,14.28,1006.7950000000001,17.946666666666665,75.56666666666666,23.28666666666667,13.023333333333332,10.558333333333334
69,1999-10-01,11.116129032258064,4.209677419354839,1.4096774193548387,3.870967741935484,3.824193548387097,0.0,5.083870967741936,10.077419354838709,1010.3177419354838,9.919354838709678,81.58064516129032,13.770967741935484,6.548387096774194,4.961290322580645
70,1999-11-01,8.506666666666666,3.313333333333333,1.52,4.566666666666666,2.24,0.4,5.933333333333334,7.489999999999999,1013.4016666666666,4.8,86.16666666666667,7.3,1.81,0.725
71,1999-12-01,14.525806451612905,5.27741935483871,3.4096774193548387,6.419354838709677,1.1709677419354838,0.2580645161290322,6.503225806451613,6.66774193548387,1001.1,2.7870967741935484,84.70967741935483,5.183870967741935,0.8225806451612904,0.1080645161290322
72,2000-01-01,11.7,4.987096774193549,1.474193548387097,4.709677419354839,1.8790322580645162,0.3870967741935484,6.064516129032258,6.235483870967743,1013.0096774193548,2.0129032258064514,84.83870967741936,4.064516129032258,-0.2032258064516129,-1.4725806451612904
73,2000-02-01,12.996551724137932,5.068965517241379,2.903448275862069,5.448275862068965,2.6741379310344833,0.0689655172413793,5.986206896551724,7.013793103448276,1009.7224137931034,4.510344827586208,82.13793103448276,7.586206896551724,1.9068965517241376,0.45689655172413784
74,2000-03-01,13.14516129032258,5.02258064516129,2.5387096774193547,4.967741935483871,2.829032258064516,0.032258064516129,6.416129032258064,7.467741935483871,1008.2225806451612,5.693548387096774,81.25806451612904,8.974193548387097,2.8096774193548386,2.1016129032258064
75,2000-04-01,10.506666666666666,3.2666666666666666,1.3433333333333335,3.2,6.023333333333333,0.0,5.236666666666666,9.446666666666664,1002.64,10.916666666666666,70.93333333333334,15.846666666666666,5.846666666666667,4.013333333333334
76,2000-05-01,10.951612903225806,3.170967741935484,1.7741935483870968,3.161290322580645,8.65,0.0,4.903225806451613,11.72258064516129,1008.9048387096773,15.332258064516129,72.03225806451613,20.8483870967742,9.87741935483871,7.648387096774194
77,2000-06-01,11.553333333333336,3.9133333333333336,1.3766666666666665,3.4,7.721666666666667,0.0,4.626666666666667,12.843333333333334,1010.8116666666667,17.326666666666664,65.06666666666666,22.596666666666668,12.053333333333336,10.566666666666666
78,2000-07-01,10.380645161290325,3.2483870967741937,3.851612903225807,5.032258064516129,3.661290322580645,0.0,6.341935483870968,14.13548387096774,1003.5258064516128,15.612903225806452,78.41935483870968,19.580645161290324,12.387096774193548,11.403225806451612
79,2000-08-01,9.693548387096774,2.803225806451613,2.629032258064516,3.4838709677419355,7.259677419354839,0.0,4.661290322580645,15.151612903225804,1010.3919354838711,17.76451612903226,74.96774193548387,23.46451612903226,13.087096774193547,11.32258064516129
80,2000-09-01,9.686666666666667,2.8433333333333333,2.4033333333333333,3.6,4.751666666666667,0.0,5.246666666666667,13.416666666666666,1008.5533333333332,14.466666666666669,81.43333333333334,18.82333333333333,10.636666666666668,9.108333333333334
81,2000-10-01,9.941935483870967,3.341935483870968,1.464516129032258,4.451612903225806,2.9838709677419355,0.0,5.95483870967742,11.125806451612902,1007.0854838709677,11.19032258064516,83.74193548387096,14.848387096774196,8.406451612903227,7.185483870967742
82,2000-11-01,9.806666666666668,3.5133333333333336,1.4333333333333331,4.6,2.521666666666667,0.0,5.91,8.43,1000.625,7.116666666666666,84.3,9.683333333333334,4.246666666666667,2.3066666666666666
83,2000-12-01,10.248387096774191,3.693548387096774,1.3290322580645162,4.709677419354839,1.7241935483870967,0.2580645161290322,6.151612903225806,7.32258064516129,1004.5693548387097,3.4290322580645163,85.90322580645162,5.838709677419355,1.470967741935484,0.15322580645161293
84,2001-01-01,9.106451612903228,3.3225806451612905,1.8387096774193548,4.967741935483871,1.8161290322580645,0.1935483870967742,5.858064516129032,6.158064516129032,1008.7354838709678,1.2483870967741937,86.12903225806451,3.693548387096774,-0.8096774193548387,-2.1241935483870966
85,2001-02-01,11.364285714285714,4.360714285714286,1.5214285714285716,4.75,2.6732142857142858,0.6785714285714286,5.792857142857143,6.167857142857143,1009.0660714285715,2.3857142857142857,81.39285714285714,5.775,-0.817857142857143,-1.2339285714285715
86,2001-03-01,11.383870967741936,3.9,2.574193548387097,5.67741935483871,2.9338709677419357,0.2903225806451613,6.367741935483871,6.638709677419355,1000.7451612903226,3.6193548387096777,81.96774193548387,7.270967741935484,0.832258064516129,0.2225806451612903
87,2001-04-01,11.413333333333334,3.85,2.286666666666666,5.366666666666666,4.211666666666667,0.0,5.836666666666667,8.05,1004.7113333333332,7.876666666666667,75.86666666666666,12.186666666666667,3.78,1.9866666666666664
88,2001-05-01,10.693548387096774,3.5806451612903225,1.3387096774193548,2.3225806451612905,8.772580645161291,0.0,4.203225806451614,11.003225806451614,1009.4161290322581,15.148387096774194,65.70967741935483,20.238709677419354,8.903225806451612,6.911290322580646
