name,latitude,longitude
Jugendzeltplatz Paulsteiner,47.6428518,10.5690821
Mini Hof Sommer,47.6767997,10.3159304
Allgäuer Hof,47.6530286,10.5738922
Umweltstation Unterallgäu,47.8540492,10.1464684
Donaucamping Eichwaldstuben,48.5690399,10.5019808
Zeltplatz Rücklenmühle,48.3838196,10.579891
Naturfreundehaus,48.4441322,10.2997279
Camping Gutshof Donauried,48.4873461,10.2564066
Jugendzeltplatz Tapfheim,48.6689242,10.699726
Jugendzeltlagerplatz am Michelsberg,48.7371164,10.5603825
Pfetzendorfer Weiher,49.3225381,10.369212
Camping Aumühle,49.0200949,10.6058031
Dekanatsjugendzeltplatz am Weisachsee,49.6710123,10.6295624
"Radstein / Taubensee, Oberschwarzach",49.857023,10.454092
"Klinge, Winkelhof",49.795203,10.534175
"Pfaffenwiese, Burgwindheim",49.80613,10.61474
Aussteller-Camp,50.1910122,10.1246347
Jugendzeltplatz Reutersbrunn,50.067839,10.7500309
DJK Schweinfurt,50.0456672,10.2466192
Jugendzeltplatz Schweinshaupten,50.1834697,10.5779484
Hütte Egenhausen,50.039584,10.0989036
Schmittnhof,49.9633064,10.4559659
"Laubwiese, Zell",49.9699467,10.5916897
"Katzentännig, Hundelshausen",49.913375,10.464478
"Geusfeld, Rauhenebrach",49.881722,10.502758
"Friedlein, Dankenfeld",49.89822,10.68609
"Steinknuck, Neuschleichach",49.9221947,10.5683522
"Hainach, Oberschwappach",49.961233,10.534279
Weidberg Camping,50.6047179,10.0844032
Weihersmühle,50.5249431,10.125746
Biwakplatz Werra-Kanu,51.0487733,10.2495466
Campingplatz Altenburschla,51.1502511,10.1730789
Biwakplatz Heldra,51.1256836,10.1955586
Biwak-Station Küllstedter Grund,51.2757999,10.2520886
Campingpark Wiesenbeker Teich,51.6169909,10.4904787
Jugendzeltplatz Brunnenbachsmühle,51.6987046,10.6243844
Am Krähenberg,51.9009835,10.3278282
Campingplatz am Strandbad Knesebeck,52.6711118,10.6918839
Campground,52.5933837,10.4973109
Campingplatz Aljarn,53.1683387,10.6180499
"Elbtalcamping ""Mutter Grün""",53.2365289,10.8491532
"Campingplatz ""Elbstrand""",53.3663924,10.5480911
Freizeitplatz,53.3941499,10.7384962
Waldkorb,53.5325435,10.3550504
Waldkorb 2,53.5332744,10.3513634
TrekkingplatzBröthen,53.4767551,10.6648611
Erlebniswald Trappenkamp,54.0238952,10.2376005
Trekkingplatz Kasseedorf,54.1564647,10.7185742
Trekkingplatz Mönchneversdorf,54.2156741,10.7234875
"Trekkingplatz ""Lueg"" ins Land",54.098456,10.5186689
Trekkingplatz Ahrensbök,53.9766819,10.5610348
Trekkingplatz Alte Schule / Kulturstern Kleinmeinsdorf e.V.,54.12892,10.50052
Jugendgruppenzeltplatz Falkenhorst,54.41047,10.1879493
Trekkingplatz Hessenstein,54.3066007,10.5628019
Camping am Deich,54.5264364,11.1176246
Trekkingplatz Gruber See,54.2415719,11.0338897
Storchenhof Ciconia,53.7483503,11.0359427
Am Wiesengrund,53.1955228,11.3413459
Zeltwiese Gasthaus Wiese,53.0301571,11.3081623
Wasserwanderrastplatz Finds hier,53.1787338,11.2997047
Wasserwanderzentrum,53.1411501,11.2597791
Green Camping,53.0276702,11.1246075
Camping Bankerhof,53.1916553,11.0011037
Campground OFCK,53.2251512,11.3523041
Hütten-Hotel-Elbhöhe,53.0709251,11.4124374
einfachlosmachen,52.9931171,11.5729558
Sunshine Camp Apenburg,52.7055123,11.1963032
Waldbad und Campingplatz Dähre,52.7939261,10.8852887
Zeltplatz,52.6902389,11.1418357
Domäne Stiege,51.6802972,10.8776672
Campingplatz Grosser Schachtsee,51.9549806,11.4679062
Biwakplatz Memleben,51.2670742,11.4832694
Campingplatz Am Waldbad,51.5371826,11.3114159
Campingplatz Ettersburg,51.0356441,11.287423
Sport- und Freizeitzentrum Uhlstädt,50.7389047,11.4637
Campingwiese Kanu-Club Sömmerda,51.1578889,11.1104986
Pfadfinderzentrum Schleifenberghütte,50.3821368,11.1813514
Wohnmobil-Stellplatz Camping am Werra Radweg,50.4060066,10.8796945
Trekkingplatz FRANKENWALD Kobach,50.4772296,11.3094638
Waldcamp,50.5105863,11.3385554
Bamberger Faltboot-Club,49.9035154,10.8736851
Zeltplatz Callenberg,50.2798239,10.923347
Schloss Oberau,50.1102149,10.9753739
Campingplatz des Segelflug Club Lauf e.V.,49.6026056,11.2809351
Zeltplatz der Kolpingsfamilie Münchberg,49.7730088,11.3745133
Jugendzeltplatz am Pavillon,49.8620721,11.1829729
Zeltwiese Gasthaus Kroder,49.7077744,11.1540015
Mandlachsee (Kreisjugendring Aichach Friedberg),48.5536808,11.0690092
Jugendfreizeitgelände Lindenbichl,47.6925808,11.1653382
Mangmühlenzeltplatz,47.6506275,10.7373737
"NFP - Natur- und Ferienpark ""Am Groß Labenzer See""",53.7890191,11.7485738
Hotel & Restaurant Dreiwasser,53.7166145,11.8337763
Campingoase Waldsee,53.590225,12.2127412
Lewitzcamp Garwitz,53.4518031,11.7109997
Campingplatz Klein Pritz,53.6405555,11.9462614
Campingplatz Roter See,53.7190566,11.7271833
Camping Sternberger Seenland,53.7131637,11.8099247
Kanu-Camp Hennig,53.7368779,11.8346139
Friedensteich,53.0045903,11.7328028
Campinggelegenheit am Sportboothafen Wittenberge (Sportbootanger Nedwighafen),52.9907045,11.7431486
Waldbad-Campingplatz-Wischer,52.6377576,11.9509177
Wohnwagen-Camping und Ferienhaussielung Kamern,52.7527335,12.1079846
Campingplatz Seeblick (Seeperle Kamern),52.7515906,12.1071263
"Campingplatz ""Am Kamernschen See""",52.7451384,12.1011021
"Campingplatz ""Am Freibad""",52.8625912,11.9620511
Radfahrer-Zeltplatz,52.5376398,11.971022
Biwak Parey,52.6732985,12.2385121
Biwakplatz Grütz,52.6617182,12.2817418
Campingwiese vom Hafen,52.7532658,12.2019878
"Campingplatz ""Kolumbussee""",52.0573099,11.8196433
"Campinggelegenheit an der Pension ""Zum Deich""",52.265905,11.7547243
Campingplatz Fischereibetrieb Riedel,52.372342,11.9433338
Seesportverein Dessau e.V.,51.8563316,12.2204915
Junkers Paddelgemeinschaft,51.8563988,12.2216298
SSV Bau-Weiß Barby Campingmöglichkeit,51.9591797,11.90575
Seebad Edderitz,51.6931107,11.9225297
Zeltwiese am See,51.854329,12.1776983
Zeltwiese Löbejün,51.6310404,11.8972772
Campingplatz Kleinliebenau,51.3711278,12.1951806
Pappelgrund,51.4604193,11.8446096
Kanuverleih Nebra,51.2794576,11.6495553
Biwakplatz Reinsdorf,51.2934361,11.5961312
Freizeit- und Tourismusverein Balgstädt,51.2084114,11.7370594
Camping am Wald,51.1932341,11.8699568
Zeltwiese Bootshaus Bad Dürrenberg,51.2916216,12.0613171
Campingplatz Kanuverleih Nebra,51.2794571,11.6495523
Wohnmobile Schmidt,51.4514421,11.5421457
Korowka,51.3944571,12.0082759
Ferienland Crispendorf,50.5817457,11.7001518
Trekkingplatz FRANKENWALD Rehwiese,50.3221756,11.5574914
Trekkingplatz FRANKENWALD Leitschtal,50.321574,11.4563357
Naturistenbund Bayreuth e.V. (FKK-Gelände),49.9113505,11.6030475
Trekkingplatz FRANKENWALD Döbraberg,50.2767498,11.640366
Sonnenhof Regler,49.5609767,11.8882107
Jugendzeltplatz Grimmerthal,49.4604942,12.0481561
Pfadfinderzentrum Neumarkt i.d.OPf.,49.2727796,11.4842464
7 Täler Campingplatz,49.0356361,11.5455461
Fahrradgarten,49.0032426,11.4529048
Zeltplatz KJR Eschelbach,48.5803635,11.5799339
Jugendzeltplatz Mittermarchenbach,48.4759247,11.8237914
The Tent,48.1684134,11.5021082
Hausler-Hof,48.2903265,11.720835
Walchenseecamp,47.5739669,11.3622046
Camperstellplatz Negast,54.2519777,13.0195115
Wasserwanderrastplatz Pantlitz,54.2213561,12.5448415
Wasserwanderrastplatz Daskow,54.2335703,12.5258354
Wasserwanderrastplatz Hafen Dabitz,54.3615139,12.8062543
Naturcamping Saal,54.3127724,12.480539
Wasserwanderrastplatz Zeitlow,53.9543359,13.1092821
Städtischer Camping-Platz Loitz,53.9703579,13.1363193
Wasserwanderrastplatz Tessin,54.0252093,12.4722226
Eixener See,54.1707467,12.7278166
Useriner Mühle,53.3224255,12.9680096
Alte Fahrt,53.3711555,12.7777888
Altes Verwalterhaus,53.5916051,13.0458515
Kanu-Hecht,53.4268802,12.9320068
Pension Fischerhaus,53.3598349,12.9377901
Kanumühle Wesenberg,53.2797442,12.9844894
Am Rottstielfließ,53.0184492,12.8131045
Zeltplatz & Pfahlhauscamp Wesenberg,53.2760438,12.9868974
Kanufarm am Heegesee,53.2423876,12.9513108
Camping Königsberger See,53.0539196,12.4382497
Biwakplatz Insel Werder,52.9762957,12.9555053
Wasserwanderrastplatz,53.1622831,12.8695305
Wasserwanderrastplatz Wesenberg,53.2804265,12.9745504
Biber Ferienhof,53.2071995,12.8599942
Biwakplatz Milow,52.5232577,12.3088696
Campingplatz Lutze 1 PWCV e.V.,52.4580771,12.4280463
Wasserwanderrastplatz Strandbad Ketzin,52.4706844,12.8445196
Wasserwanderrastplatz Zachow,52.4778305,12.7914092
Wasserwanderrastplatz Lilienweg,52.4841082,12.8229278
Wasserwanderrastplatz Havelpromenade,52.4744218,12.8399706
Biwakplatz Mögelin,52.5554253,12.3195436
Biwakplatz Bahnitz,52.4969643,12.4027455
Rastplatz für Kanuten (Premnitz),52.5247332,12.3410816
Wasserwanderstützpunkt Rathenow Wassersportverein,52.6014341,12.3254098
Natur- und Kulturcamp Treibgut,52.4438016,13.0149619
Sternencamp Rübehorst,52.7922833,12.3250402
Hafen Linum,52.7671416,12.8763108
"Pension & Campingplatz ""Gartenidylle""",52.1578096,12.923646
Camping & Caravan,52.3312009,12.9338179
Wassersportgemeinschaft Wittenberg 1962 e. V. (Campingmöglichkeit),51.8618237,12.6591619
Zeltplatz Königsee,51.7525047,12.5692347
"Kanuverein ""Harmonie"" Elster/Elbe",51.827599,12.8198432
Ruderclub Wittenberg (Campinggelegenheit),51.8633944,12.6675546
Auf der Tenne,51.7602129,12.828185
"Ferienpark Thümmlitzsee (""Thümmlitz Erholung"")",51.1918062,12.800036
Freizeit- und Erholungszentrum Eilenburg,51.4714964,12.6796536
Bootshaus Burghausen,51.3572043,12.2567997
Waldcamping Erzgebirgsbad Thalheim,50.709093,12.8442192
Surfclub Sachsen e.V.,51.112375,12.4681272
Gutshof TDA-Lohma,50.9548266,12.5432156
Campingplatz Platzermühle,49.9705422,12.4447932
Campingplatz Waldbadeweiher,49.9116515,12.1445534
Schätzlerbad,49.7083373,12.1425365
Campingplatz - Birkholmhof Urlaub & Natur,49.8158242,12.3907646
Campingplatz Waldkraft,49.5564738,12.2782531
Petrushütte,49.7653276,12.4107148
Jugendzeltplatz,49.250727,12.4977588
Zeltplatz Roding,49.1989718,12.5137558
Zeltplatz Regensburger Kanu-Club e.V.,49.0293998,12.0705239
Zeltplatz Ramspau,49.1570857,12.1458146
Zeltplatz Marienthal,49.2228869,12.1765258
Burgstall Auburg,49.0053254,12.3157523
Jugendzeltplatz Mamming,48.6570665,12.610648
Camping Oberhofer,48.0275474,12.5980353
Trauntal Camping,47.7959449,12.6413453
Campingoase Boddenblick,54.5435788,13.5219006
Landgut Dargast,54.531568,13.6106155
Wasserwanderrastplatz Gützkow,53.924477,13.4134227
Wasserwanderrastplatz Alt Plestlin,53.9612071,13.2258113
Wasserwanderrastplatz Kamp,53.8427681,13.8489091
Villa-Eden-Peene,53.9222971,13.4238389
Campingplatz Grams,53.9506366,13.8469908
PeeneCamp Wolgast,54.0415874,13.7693462
Wietstocker ∆ Weitblick,53.7126808,13.7816745
Biwakplatz am Burggarten Klempenow,53.7899819,13.3111454
Radler Treff,53.5564335,13.6716373
Campinghof am Grünen Baum,53.3326111,13.1193651
Wasserwander-Rastplatz,53.1857508,13.1434335
Ferienpark Üdersee,52.8569323,13.6654184
Biwakplatz Küstrinchen,53.2216507,13.3772633
Campingplatz Freihafen Mildenberg,53.0070678,13.3218997
"Campingplatz ""Tiefer Bugsinsee""",52.9447086,13.7886537
Gästehaus Ahlimbsmühle,53.0737834,13.6211978
Biwak Regowschleuse,53.1293267,13.2974354
Zeltplatz Zehdenicker Wasserturm,52.9637782,13.3416697
Biwakplatz Kannenburg,53.0745885,13.3927685
Kanustation Decker am Röddelinsee,53.1003552,13.4465455
Biwakplatz Gestüt Lindenhof,53.1492071,13.4792247
Biwakplatz Strandbad Lychen,53.2066895,13.3010052
Biwakplatz Bredereiche,53.137496,13.24126
Biwakplatz Schleuse Kannenburg,53.0745692,13.391038
Kolbatzer Mühle,53.2419931,13.393251
Bürgerablage,52.5825389,13.2118744
Familiencamping Ruhlesee,52.8195136,13.5826888
Schönmacher Camping,52.8110708,13.5014207
FKK Campingplatz Mittelprendener See,52.8043081,13.5796451
Refugee campus,52.5477111,13.5108675
Kinder- u. Jugenddorf Rankenheim,52.1652387,13.6347281
"Fahrradverleih Daske , Zelt - und Wohnmobilstellplatz",52.1339084,13.3759713
Campingplatz Jugendherberge,52.1694492,13.6822246
Riesaer Wassersportverein,51.305935,13.3099392
Ruderverein Mühlberg,51.4324424,13.2098256
Marinekameradschaft Riesa,51.3064072,13.3216465
Campingmöglichkeit im Sportboothafen,51.4768777,13.1366188
Campingplatz im O-Schatz-Park,51.2916289,13.1056102
Europäisches Jugendcamp,51.2911819,13.1063586
Barth-Mühle,51.1295092,13.435644
Raststation & Yachthafen Mühlberg,51.4339278,13.2093286
Fahrerlager,50.8385132,13.4425947
Hammerwek - Zeltplatz,50.5242695,13.1335274
Natur Camping,50.6611223,13.235333
ERZ.IDYLL Warmbad,50.6651118,13.07725
Campingplatz Waldesruh,49.2999237,12.7764715
Campingplatz Waldhof,49.023422,13.1576021
Campingplatz Meierhof,48.7143493,13.0509741
Biohof Reinhardt,48.6193192,13.1960609
Zurück_zur_Natur,48.8464094,13.1880926
Zurück_zur_Natur,48.8461869,13.1864232
Camping auf dem Bauernhof,47.8918485,12.7746317
Frechn Hof - Ferienhof Schauer,47.9221985,12.9133612
Naturcamping auf dem bauernhof,47.9435681,12.8218685
Campingplatz Kamminke,53.8723851,14.1987533
WasserWanderRastplatz Kunstgarten Pasewalk,53.5062462,13.9811262
Zaubermondhof Camp,53.521289,14.3012613
Fennhof,53.6612437,14.2346186
"Wasserwanderrastplatz ""An den Baumzwillingen"" Prenzlau",53.3280951,13.8528435
Hafen Eggesin,53.6821573,14.070131
Campingplatz am Sassenpfuhl e.V.,52.951672,13.8394005
Campingplatz StroamCamp,53.0570403,14.2979263
Marina Oderberg,52.8638091,14.070615
Wasserwanderplatz Hangelsberg,52.3958488,13.9179593
Naturerlebnishof Uferloos,52.6771584,14.4359476
Gasthof zum Hafen,52.6740643,14.4417298
Camp der Wildnisschule Waldschrat,52.479772,14.0174455
Country Camping Berlin,52.680019,13.8506123
Camping Friedenstal,52.5126234,14.4340505
Abenteuerzeltplatz,52.260369,13.805331
Spreepark – Camping und Caravan,52.1638532,14.2401852
Wasserwanderrastplatz Kummerow,52.1393536,14.2222071
Wasserwanderrastplatz Wolzig,52.2722873,13.8247856
Biwakplatz Neubrück,52.2711047,14.2736999
Biwak Neuendorf,52.1051099,13.9023688
Wasserwanderrastplatz Petkamsberg,52.0061933,13.8753187
Ruderclub Fürstenwalde,52.3615644,14.0545778
Wasserwanderplatz Kossenblatt,52.1108224,14.0663481
Wasserwanderrastplatz Schlepzig,52.0286265,13.8866463
Wasserwanderrastplatz,52.3831336,13.8924172
